iter	RMSE
0	3559.854856
1	3344.316031
2	3168.087955
3	2998.729641
4	2856.764517
5	2735.988347
6	2618.645043
7	2507.606474
8	2430.247862
9	2348.013807
10	2270.809726
11	2214.180807
12	2154.166248
13	2102.759291
14	2062.612573
15	2027.922113
16	1998.035633
17	1966.006007
18	1941.710053
19	1910.313474
20	1889.887664
21	1872.330312
22	1853.261997
23	1835.100363
24	1820.92705
25	1807.402162
26	1796.599766
27	1784.793037
28	1776.676521
29	1767.606741
30	1760.669533
31	1751.152367
32	1745.072457
33	1738.580445
34	1731.582708
35	1726.740071
36	1724.019509
37	1721.987841
38	1718.440193
39	1714.908464
40	1709.766259
41	1704.126551
42	1700.717987
43	1695.076068
44	1691.537477
45	1689.696249
46	1683.81585
47	1680.955749
48	1677.906215
49	1671.693396
50	1667.674111
51	1666.21009
52	1661.008163
53	1657.791416
54	1654.523621
55	1651.903347
56	1649.152365
57	1641.045224
58	1639.593156
59	1637.666686
60	1633.54618
61	1629.544412
62	1627.263909
63	1624.855945
64	1620.626596
65	1618.927795
66	1616.367111
67	1611.593532
68	1608.104626
69	1607.063581
70	1602.067197
71	1598.650545
72	1597.036025
73	1596.119919
74	1591.070082
75	1589.182294
76	1586.655454
77	1584.124142
78	1582.112132
79	1578.368043
80	1575.691673
81	1571.323023
82	1570.179025
83	1568.766974
84	1564.981534
85	1562.556939
86	1560.125775
87	1560.058894
88	1559.597282
89	1554.785646
90	1553.046175
91	1551.574959
92	1550.01949
93	1547.808046
94	1547.063596
95	1545.489713
96	1542.753148
97	1538.165372
98	1535.544192
99	1527.218258
100	1525.169431
101	1522.687274
102	1520.909623
103	1518.700623
104	1516.463976
105	1515.117795
106	1514.04639
107	1513.261484
108	1510.812613
109	1508.327842
110	1507.661046
111	1505.538659
112	1502.839851
113	1499.750478
114	1497.527045
115	1495.080297
116	1492.670224
117	1491.703564
118	1485.110643
119	1483.096609
120	1481.259767
121	1479.616597
122	1478.190119
123	1476.963864
124	1474.774476
125	1468.272889
126	1467.417908
127	1464.786732
128	1462.230662
129	1461.69182
130	1457.440048
131	1455.307996
132	1452.964876
133	1450.515988
134	1448.824803
135	1447.471487
136	1445.33074
137	1443.767178
138	1439.316407
139	1438.642487
140	1436.479458
141	1432.806951
142	1431.006144
143	1426.260734
144	1425.238151
145	1422.338644
146	1419.711027
147	1418.053878
148	1417.404424
149	1415.598616
150	1410.028944
151	1401.895436
152	1397.180882
153	1392.102989
154	1390.653914
155	1388.676221
156	1386.30341
157	1385.294504
158	1384.570121
159	1381.488031
160	1379.55874
161	1378.469404
162	1377.294966
163	1376.902055
164	1371.508889
165	1368.374665
166	1360.799088
167	1359.935531
168	1358.485718
169	1356.97656
170	1353.382793
171	1353.036562
172	1350.379956
173	1347.942684
174	1345.246528
175	1343.945044
176	1341.974081
177	1340.89948
178	1339.256761
179	1334.630774
180	1332.907994
181	1331.048443
182	1330.28167
183	1326.726667
184	1322.767169
185	1320.468312
186	1318.620303
