iter	Passed	Remaining
0	2	28027
1	5	27077
2	7	25954
3	10	25174
4	13	27580
5	16	26861
6	18	26237
7	20	25754
8	22	25427
9	25	25450
10	27	25225
11	30	25012
12	32	24794
13	34	24556
14	36	24457
15	39	24455
16	41	24375
17	43	24353
18	46	24343
19	48	24263
20	50	24190
21	53	24078
22	55	24012
23	57	23932
24	59	23871
25	62	23839
26	64	23778
27	66	23745
28	69	23737
29	71	23711
30	73	23636
31	75	23581
32	78	23566
33	80	23533
34	82	23527
35	84	23498
36	87	23447
37	89	23419
38	91	23368
39	93	23393
40	96	23364
41	98	23332
42	100	23367
43	103	23344
44	105	23311
45	107	23279
46	109	23269
47	112	23239
48	114	23211
49	116	23211
50	118	23163
51	120	23131
52	123	23097
53	125	23097
54	127	23104
55	130	23208
56	132	23184
57	135	23149
58	137	23134
59	139	23117
60	141	23093
61	143	23058
62	146	23038
63	148	22993
64	150	22971
65	152	22946
66	154	22925
67	156	22914
68	159	22901
69	161	22885
70	163	22863
71	165	22837
72	167	22815
73	170	22805
74	172	22793
75	174	22794
76	176	22800
77	179	22784
78	181	22781
79	183	22761
80	185	22756
81	188	22748
82	190	22728
83	192	22704
84	195	22761
85	197	22748
86	199	22734
87	200	22598
88	202	22571
89	205	22573
90	207	22557
91	209	22542
92	211	22529
93	213	22550
94	216	22544
95	218	22530
96	220	22519
97	222	22510
98	224	22493
99	227	22487
100	229	22480
101	231	22465
102	233	22447
103	235	22447
104	238	22435
105	240	22421
106	242	22399
107	244	22380
108	246	22367
109	248	22359
110	250	22339
111	253	22337
112	256	22410
113	258	22397
114	260	22411
115	263	22413
116	265	22390
117	267	22383
118	269	22377
119	271	22360
120	273	22349
121	275	22341
122	278	22361
123	280	22375
124	283	22366
125	285	22360
126	287	22350
127	289	22338
128	292	22347
129	294	22326
130	296	22304
131	298	22290
132	300	22281
133	302	22268
134	304	22258
135	306	22244
136	308	22231
137	310	22223
138	313	22212
139	315	22199
140	317	22183
141	319	22170
142	321	22164
143	323	22153
144	325	22138
145	327	22122
146	330	22120
147	332	22105
148	334	22089
149	336	22079
150	338	22064
151	340	22050
152	342	22040
153	344	22027
154	346	22017
155	348	22007
156	350	21992
157	352	21975
158	354	21965
159	357	21961
160	359	21950
161	361	21941
162	363	21934
163	365	21924
164	367	21914
165	369	21905
166	371	21897
167	373	21881
168	376	21873
169	378	21861
170	380	21850
171	382	21835
172	384	21824
173	386	21817
174	388	21805
175	390	21791
176	392	21779
177	394	21768
178	396	21755
179	398	21766
180	401	21753
181	402	21739
182	404	21724
183	406	21710
184	408	21699
185	411	21697
186	413	21694
